Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
PDS Biotechnology,Vaccine,Protein subunit,Pre-clinical,Unknown,PDS-0203; Versamune T-cell activating technology ,,Unknown,,"Same platform as vaccines against cancers, HBV, influenza, and tuberculosis",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Quadram Institute Biosciences,Vaccine,Protein subunit,Pre-clinical,Unknown,OMV-based vaccine,,Unknown,,"Same platform as vaccine candidates for Flu A, plaque
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
"Research
  Institute for Biological Safety Problems, Rep of Kazakhstan",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/3/2020
Soligenix/ University of Hawaii at Mānoa,Vaccine,Protein subunit,Pre-clinical,Pre-clinical testing results released in July 2020,CiVax™ COVID-19 vaccine candidate; spike protein + novel adjuvant,,"Soligenix, Inc. ",,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/27/2020
Sorrento Therapeutics,Vaccine,Protein subunit,Pre-clinical,Animal study results released July 2020,Recombinant fusion protein of the SARS-CoV-2 spike protein S1 domain and human IgG Fc (T-VIVA-19),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/17/2020
St. Petersburg Scientific Research Institute of Vaccines and Serums,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant protein, nanoparticles (based on S-protein and other epitopes)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Tampere University,Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant S protein produced in BEVS,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
UMN Pharma (Shionogi),Vaccine,Protein subunit,Pre-clinical,Phase I to start by end of 2020,"Protein subunit; recombinant protein vaccine, utilizing baculovirus expression vector system technology",,Japan Agency for Medical Research and Development,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020
University  Medical Center Groningen/ Akston Biosciences Corporation/ LakePharma,Vaccine,Protein subunit,Pre-clinical,Phase I/II expected to begin January 2021,SARS-CoV-2-RBD-Fc fusion protein; (AKS-452),NCT04681092,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/12/2021
University Hospital Tuebingen,Vaccine,Protein subunit,Pre-clinical,Phase I expected to begin September 2020,SARS-CoV-2 HLA-DR peptides,NCT04546841,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/18/2020
University of Alberta,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; spike based,,Unknown,,Same platform as vaccine candidates for Hepatitis C,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"University of California, San Diego",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; plant virus nanotechnology formulated as injectable and microneedle patch,,National Science Foundation (Rapid Response Research [RAPID] grant),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
University of Pittsburgh,Vaccine,Protein subunit,Pre-clinical,Phase I to start as early as June 2020,"PittCoVacc, Protein subunit, microneedle arrays S1 subunit",,Unknown,,Same platform as vaccine candidates for MERS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"University of San Martin and CONICET, Argentina",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/12/2020
University of Virginia,Vaccine,Protein subunit,Pre-clinical,Unknown,S subunit intranasal liposomal formulation with GLA/3M052 adjs.,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Vabiotech,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant S protein in IC-BEVS  ",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Vaxil Bio,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; peptide,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Verndari/ University of California, Davis",Vaccine,Protein subunit,Pre-clinical,"Preliminary pre-clinical results are expected in the second half of 2020, Phase I trial is expected to begin thereafter; Selected by BARDA DRIVe for support in August 2020",Spike protein; VaxiPatch microneedle array dermal patch,,"Biomedical Advanced Research and Development Authority (BARDA) Division of Research, Innovation, and Ventures (DRIVe)",,Same platform as vaccines against influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/27/2020
"VIDO-InterVac, University of Saskatchewan",Vaccine,Protein subunit,Pre-clinical,Phase I/II expected to begin January 2021; Animal testing results expected in April 2020,"Protein subunit, adjuvanted microsphere peptide",NCT04702178,The Government of Saskatchewan and the Canadian Federal Government,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/12/2021
WRAIR / USAMRIID,Vaccine,Protein subunit,Pre-clinical,Phase I expected to begin late 2020,Protein subunit; S protein (SpFN),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Yisheng Biopharma,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant protein  ",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Aurobindo,Vaccine,Replicating viral vector,Pre-clinical,Unknown,VSV-S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
BIOCAD / IEM,Vaccine,Replicating viral vector,Pre-clinical,Unknown,"Replicating viral vector, live viral vectored vaccine based on attenuated influenza virus backbone (intranasal)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Cellid
  Co., Ltd./IAVI",Vaccine,Replicating viral vector,Pre-clinical,Phase I/IIa trial began recruitment December 2020,AdCLD-CoV19,NCT04666012,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
DZIF - German Center for Infection Research/ CanVirex AG,Vaccine,Replicating viral vector,Pre-clinical,Unknown,"Measles virus (S, N targets)",,Unknown,,"Same platform as vaccine candidates for Zika, H7N9, CHIKV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"Farmacológicos
  Veterinarios SAC (FARVET SAC)",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Intranasal Newcastle disease virus vector (rNDV-FARVET) expressing S1 protein,,Unknown,,Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
Farmacológicos Veterinarios SAC (FARVET SAC),Vaccine,Replicating viral vector,Pre-clinical,Unknown,Intranasal Newcastle disease virus vector (rNDV-FARVET) expressing RBD protein,,Unknown,,Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; measles vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; VSV vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Replicating viral vector,Pre-clinical,Unknown,"Replicating viral vector, recombinant vaccine based on Influenza A virus, for the prevention of COVID-19 (intranasal)",,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Fundacao Oswaldo Cruz and Instituto Buntantan,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Attenuated Influenza expressing an antigenic portion of the Spike protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
Intravacc/ Wageningen Bioveterinary Research/Utrecht Univ.,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Newcastle disease virus vector (NDV-SARS-CoV-2/Spike),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
"Israel
  Institute for Biological Research/ Weizmann Institute of Science",Vaccine,Replicating viral vector,Pre-clinical,Phase I/II expected to begin recruiting end of October 2020,VSV-S ,NCT04608305,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/3/2020
KU Leuven,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; YF17D Vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"The Lancaster University, UK",Vaccine,Replicating viral vector,Pre-clinical,Unknown,Avian paramyxovirus vector (APMV),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
The University of Hong Kong/ Xiamen University/ Wantai Biological Pharmacy,Vaccine,Replicating viral vector,Pre-clinical,Phase I expected to begin in Hong Kong in November 2020; Approved for clinical trials in September 2020,"Replicating viral vector, intranasal flu-based RBD (DelNS1-2019-nCoV-RBD-OPT1)",ChiCTR2000037782,Coalition for Epidemic Preparedness (CEPI),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Tonix Pharma / Southern Research,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; horsepox vector expressing S protein; TNX-1800,,Unknown,,"Same platform as vaccine candidates for smallpox, monkeypox",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
University of Manitoba,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating VSV vector-based DC-targeting,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
University of Western Ontario,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; VSV-S,,Unknown,,"Same platform as vaccine candidates for HIV, MERS",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
University of Wisconsin-Madison / FluGen/ Bharat Biotech,Vaccine,Replicating viral vector,Pre-clinical,Start Phase I trial in fall 2020,M2-deficient single replication (M2SR) influenza vector,,Unknown,,Same platform as vaccine candidates for influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Zydus Cadila Healthcare Limited ,Vaccine,Replicating viral vector,Pre-clinical,Unknown,Replicating viral vector; measles vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
BioNTech/ Pfizer/ Fosun Pharma/ Rentschler Biopharma,Vaccine,RNA-based vaccine,Authorized,"Results from in vitro studies on neutralization of variants of SARS-CoV-2 by BNT162b2 vaccine-elicited sera announced January 2021; Argentina authorized under ""emergency registration"" on 12/22/2020; European Commission granted a ""conditional marketing authorisation"" (CMA) on 12/21/2020, following European Medicines Agency (EMA) recommendation to grant CMA; U.S. FDA issued ""emergency use authorization"" on 12/11/2020; Mexico COFEPRIS granted ""emergency use authorization"" on 12/11/2020; Saudi Food and Drug Authority (SFDA) ""approved the registration"" of the vaccine on 12/10/2020; Health Canada ""authorized"" on 12/9/2020; Bahrain granted ""emergency use authorization"" on 12/4/2020; U.K. MHRA granted ""temporary authorization for emergency use"" on 12/2/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/20/2020; Phase III complete analysis results announced 11/18/2020, interim analysis results announced 11/09/2020; Phase I data published October 2020; FDA approved late-stage trial enrollment of children 12 years and older in October 2020; EMA rolling submission initiated on 10/6/2020; Study protocol for late-stage clinical trials released Sept 2020; Amended protocol to FDA to expand trial enrollment to 44,000 participants; Phase IIb/III trial began Jul 2020; FDA granted Fast Track designation for BNT162b1 and BNT162b2 in Jul 2020; Selected for US Operation Warp Speed in Jul 2020; Phase I/II began Apr 2020; preliminary data released Jul 2020, additional data published Aug, Sept, and Dec 2020; Pre-clinical data released Sept 2020 and Dec 2020","3 LNP-mRNAs; BNT162 
","ChiCTR2000034825, EudraCT 2020-001038-36, EudraCT 2020-003267-26, NCT04368728, NCT04380701, NCT04523571, NCT04537949, NCT04588480, NCT04649021",Unknown,"Pfizer (https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-announce-early-positive-data-ongoing-0), medRxiv (https://www.medrxiv.org/content/10.1101/2020.06.30.20142570v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.07.17.20140533v1), Nature (https://www.nature.com/articles/s41586-020-2639-4), medRxiv (https://www.medrxiv.org/content/10.1101/2020.08.17.20176651v1), Nature (https://www.nature.com/articles/s41586-020-2814-7), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2027906?query=featured_home), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2034577?query=featured_home), medRxiv (https://www.biorxiv.org/content/10.1101/2020.12.11.421008v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.09.20245175v1), Pfizer (https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-provide-data-german-phase-12-study), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.07.425740v1), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.18.426984v1)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
Moderna/National Institute of Allergy and Infectious Diseases (NIAID)/Biomedical Advanced Research and Development Authority (BARDA)/Lonza/Catalent/Rovi/Medidata/BIOQUAL,Vaccine,RNA-based vaccine,Authorized,"Results from an in vitro study on neutralization of variants of SARS-CoV-2 by mRNA-1273 vaccine-elicited sera announced January 2021; Switzerland ""authorized"" on 01/12/2021; U.K. MHRA granted ""temporary authorization"" on 01/08/2021; European Commission granted a ""conditional marketing authorization"" on 01/06/2021; Israel granted ""authorization to import"" on 01/04/2021; Phase III interim safety and primary efficacy results published on 12/30/2020; Health Canada ""authorized"" on 12/23/2020; U.S. FDA issued ""emergency use authorization"" on 12/18/2020; Phase II/III study in adolescents ages 12 to less than 18 dosed on 12/10/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/30/2020; Phase III primary efficacy analysis results announced 11/30/2020; European Medicines Agency (EMA) started rolling review on 11/17/2020; Phase III interim analysis results announced 11/16/2020; Swissmedic started rolling review on 11/13/2020; UK Medicines and Healthcare products Regulatory Agency (MHRA) started rolling review on 10/27/2020; EMA confirmed marketing authorization submission eligibility on 10/14/2020; Health Canada rolling submission initiated on 10/13/2020; Study protocol for late-stage clinical trials released September 2020; Phase I interim data from older adult cohorts released Aug 2020 and published Sep 2020; Phase III COVE study began July 2020, completed enrollment on 10/22/2020; Animal study results published July/Aug 2020; Phase I interim results published July 2020; FDA fast track designation granted May 2020; Selected for US Operation Warp Speed in April 2020",RNA; LNP-encapsulated mRNA (mRNA 1273),"NCT04283461, NCT04405076, NCT04470427, NCT04649151",Coalition for Epidemic Preparedness (CEPI)/ Biomedical Advanced Research and Development Authority (BARDA),"Moderna (https://investors.modernatx.com/news-releases/news-release-details/moderna-announces-positive-interim-phase-1-data-its-mrna-vaccine), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2022483), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2028436), Moderna (https://www.businesswire.com/news/home/20201116005608/en/Moderna%E2%80%99s-COVID-19-Vaccine-Candidate-Meets-Primary-Efficacy), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMc2032195), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2035389), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.25.427948v1)",Same platform as vaccine candidates for multiple candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
CureVac/Bayer,Vaccine,RNA-based vaccine,Phase III,"Phase III trial began December 2020; Phase IIb/III (HERALD) trial began recruiting December 2020; Phase IIa trial began end of September 2020; Phase I trial began June 2020, interim results reported November 2020; Pre-clinical data released October 2020",RNA; mRNA (CVnCoV),"NCT04449276, NCT04515147, NCT04652102, NCT04674189, EudraCT 2020-004066-19",Coalition for Epidemic Preparedness (CEPI); European Commission; Gates Foundation; Defense Advanced Research Projects Agency (DARPA); German Government; European Investment Bank (EIB); German Federal Ministry of Education and Research (BMBF),,"Same platform as vaccine candidates for RABV, LASV, YFV, MERS, InfA, ZIKV, DengV, NIPV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
"Arcturus/Duke-NUS/ Catalent
",Vaccine,RNA-based vaccine,Phase I/II,"Received approval to proceed with Phase II study in Singapore end of December 2020; Phase I/II interim data released December 2020; Pre-clinical results released September and December 2020; Phase I/II began August 2020, initial results expected Q4 2020; Received approval to launch clinical trials in Singapore end of July 2020",RNA; mRNA; (LUNAR-COV19),"NCT04480957, NCT04668339",Unknown,,Same platform as vaccine candidates for multiple candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Imperial College London/ VacEquity Global Health,Vaccine,RNA-based vaccine,Phase I/II,Pre-clinical results published July 2020; Phase I/II trial began June 2020,RNA; LNP-nCoVsaRNA,ISRCTN17072692,UK Government,,"Same platform as vaccine candidates for EBOV, LASV, MARV, Inf (H7N9), RABV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/10/2020
People's Liberation Army (PLA) Academy of Military Sciences/ Walvax Biotech,Vaccine,RNA-based vaccine,Phase I,Phase I trial began end of June 2020,mRNA (ARCoV),ChiCTR2000034112,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/3/2020
BIOCAD,Vaccine,RNA-based vaccine,Pre-clinical,Animal studies begin in April 2020,RNA; liposome-encapsulated mRNA,,Unknown,,Same platform as vaccine candidates for cancer   ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
CanSino Biologics/Precision Nanosystems,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA lipid nanoparticle (mRNA-LNP),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; Replicating defective SARS-CoV-2 derived RNAs,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Chimeron Bio/ George Mason University's National Center for Biodefense and Infectious  Disease,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"Self amplifying RNA, self-assembling delivery system",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
China CDC / Tongji University / Stermina,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Chula Vaccine Research Center/University of Pennsylvania,Vaccine,RNA-based vaccine,Pre-clinical,Phase I expected to begin January 2021,LNP-mRNA; (ChulaCov19),NCT04566276,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Daiichi-Sankyo/ University of Tokyo's Institute of Medical Science,Vaccine,RNA-based vaccine,Pre-clinical,Clinical studies expected to begin March 2021,RNA; mRNA (DS-5670),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Elixirgen Therapeutics/ Fujita Health University,Vaccine,RNA-based vaccine,Pre-clinical,"Clinical trials are expected to begin at Fujita Health University Hospital in Aichi, Japan in Q1 2021",srRNA (EXG-5003),,Japan Agency for Medical Research and Development (AMED),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/1/2020
eTheRNA Immunotherapies / EpiVax/ Nexelis/ REPROCELL / Centre for the Evaluation of Vaccination of the University of Antwerp,Vaccine,RNA-based vaccine,Pre-clinical,Start Phase I early 2021,RNA; mRNA in an intranasal delivery system (cross-strain protective COV-2 mRNA) vaccine for high-risk populations,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; LNP-encapsulated mRNA cocktail encoding VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; LNP-encapsulated mRNA cocktail encoding RBD,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
GeneOne Life Science / Houston Methodist,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA; (GLS-3000),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
Gennova,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"Self-amplifying
  RNA",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
"Globe Biotech Limited, Bangladesh",Vaccine,RNA-based vaccine,Pre-clinical,Phase I/II protocol submitted to Bangladesh Medical Research Council (BMRC) on 1/17/2021 for approval to begin clinical trials,D614G variant LNP-encapsulated mRNA; (Bangavax),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
"Greenlight Biosciences
",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"mRNA
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
"IDIBAPS- Hospital Clinic, Spain",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
"Infectious Disease Research Institute/ Amyris, Inc.",Vaccine,RNA-based vaccine,Pre-clinical,Phase I expected to begin mid-2021,saRNA formulated in a NLC,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Max-Planck Institute of Colloids and Interfaces,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,LNP-encapsulated mRNA encoding S,,KHAN-1 Technology Transfer Fund I GmbH & Co KG,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"RNAimmune, Inc.",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; several mRNA candidates,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Sanofi Pasteur / Translate Bio,Vaccine,RNA-based vaccine,Pre-clinical,Phase I/II to start Q4 2020; Pre-clinical results released October 2020,"LNP-mRNA
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/15/2020
